id,gender,age,income,score,cluster,segment
1,Male,19,15,39,1,Premium buyers
2,Male,21,15,81,1,Premium buyers
3,Female,20,16,6,0,Budget shoppers
4,Female,23,16,77,1,Premium buyers
5,Female,31,17,40,1,Premium buyers
6,Female,22,17,76,1,Premium buyers
7,Female,35,18,6,0,Budget shoppers
8,Female,23,18,94,1,Premium buyers
9,Male,64,19,3,0,Budget shoppers
10,Female,30,19,72,1,Premium buyers
11,Male,67,19,14,0,Budget shoppers
12,Female,35,19,99,1,Premium buyers
13,Female,58,20,15,0,Budget shoppers
14,Female,24,20,77,1,Premium buyers
15,Male,37,20,13,0,Budget shoppers
16,Male,22,20,79,1,Premium buyers
17,Female,35,21,35,0,Budget shoppers
18,Male,20,21,66,1,Premium buyers
19,Male,52,23,29,0,Budget shoppers
20,Female,35,23,98,1,Premium buyers
21,Male,35,24,35,0,Budget shoppers
22,Male,25,24,73,1,Premium buyers
23,Female,46,25,5,0,Budget shoppers
24,Male,31,25,73,1,Premium buyers
25,Female,54,28,14,0,Budget shoppers
26,Male,29,28,82,1,Premium buyers
27,Female,45,28,32,0,Budget shoppers
28,Male,35,28,61,1,Premium buyers
29,Female,40,29,31,0,Budget shoppers
30,Female,23,29,87,1,Premium buyers
31,Male,60,30,4,0,Budget shoppers
32,Female,21,30,73,1,Premium buyers
33,Male,53,33,4,0,Budget shoppers
34,Male,18,33,92,1,Premium buyers
35,Female,49,33,14,0,Budget shoppers
36,Female,21,33,81,1,Premium buyers
37,Female,42,34,17,0,Budget shoppers
38,Female,30,34,73,1,Premium buyers
39,Female,36,37,26,0,Budget shoppers
40,Female,20,37,75,1,Premium buyers
41,Female,65,38,35,4,Mid-tier balanced
42,Male,24,38,92,1,Premium buyers
43,Male,48,39,36,0,Budget shoppers
44,Female,31,39,61,1,Premium buyers
45,Female,49,39,28,0,Budget shoppers
46,Female,24,39,65,1,Premium buyers
47,Female,50,40,55,4,Mid-tier balanced
48,Female,27,40,47,1,Premium buyers
49,Female,29,40,42,1,Premium buyers
50,Female,31,40,42,1,Premium buyers
51,Female,49,42,52,4,Mid-tier balanced
52,Male,33,42,60,1,Premium buyers
53,Female,31,43,54,1,Premium buyers
54,Male,59,43,60,4,Mid-tier balanced
55,Female,50,43,45,4,Mid-tier balanced
56,Male,47,43,41,4,Mid-tier balanced
57,Female,51,44,50,4,Mid-tier balanced
58,Male,69,44,46,4,Mid-tier balanced
59,Female,27,46,51,1,Premium buyers
60,Male,53,46,46,4,Mid-tier balanced
61,Male,70,46,56,4,Mid-tier balanced
62,Male,19,46,55,1,Premium buyers
63,Female,67,47,52,4,Mid-tier balanced
64,Female,54,47,59,4,Mid-tier balanced
65,Male,63,48,51,4,Mid-tier balanced
66,Male,18,48,59,1,Premium buyers
67,Female,43,48,50,4,Mid-tier balanced
68,Female,68,48,48,4,Mid-tier balanced
69,Male,19,48,59,1,Premium buyers
70,Female,32,48,47,1,Premium buyers
71,Male,70,49,55,4,Mid-tier balanced
72,Female,47,49,42,4,Mid-tier balanced
73,Female,60,50,49,4,Mid-tier balanced
74,Female,60,50,56,4,Mid-tier balanced
75,Male,59,54,47,4,Mid-tier balanced
76,Male,26,54,54,1,Premium buyers
77,Female,45,54,53,4,Mid-tier balanced
78,Male,40,54,48,4,Mid-tier balanced
79,Female,23,54,52,1,Premium buyers
80,Female,49,54,42,4,Mid-tier balanced
81,Male,57,54,51,4,Mid-tier balanced
82,Male,38,54,55,1,Premium buyers
83,Male,67,54,41,4,Mid-tier balanced
84,Female,46,54,44,4,Mid-tier balanced
85,Female,21,54,57,1,Premium buyers
86,Male,48,54,46,4,Mid-tier balanced
87,Female,55,57,58,4,Mid-tier balanced
88,Female,22,57,55,1,Premium buyers
89,Female,34,58,60,1,Premium buyers
90,Female,50,58,46,4,Mid-tier balanced
91,Female,68,59,55,4,Mid-tier balanced
92,Male,18,59,41,1,Premium buyers
93,Male,48,60,49,4,Mid-tier balanced
94,Female,40,60,40,4,Mid-tier balanced
95,Female,32,60,42,1,Premium buyers
96,Male,24,60,52,1,Premium buyers
97,Female,47,60,47,4,Mid-tier balanced
98,Female,27,60,50,1,Premium buyers
99,Male,48,61,42,4,Mid-tier balanced
100,Male,20,61,49,1,Premium buyers
101,Female,23,62,41,1,Premium buyers
102,Female,49,62,48,4,Mid-tier balanced
103,Male,67,62,59,4,Mid-tier balanced
104,Male,26,62,55,1,Premium buyers
105,Male,49,62,56,4,Mid-tier balanced
106,Female,21,62,42,1,Premium buyers
107,Female,66,63,50,4,Mid-tier balanced
108,Male,54,63,46,4,Mid-tier balanced
109,Male,68,63,43,4,Mid-tier balanced
110,Male,66,63,48,4,Mid-tier balanced
111,Male,65,63,52,4,Mid-tier balanced
112,Female,19,63,54,1,Premium buyers
113,Female,38,64,42,3,Conservative earners
114,Male,19,64,46,1,Premium buyers
115,Female,18,65,48,1,Premium buyers
116,Female,19,65,50,1,Premium buyers
117,Female,63,65,43,4,Mid-tier balanced
118,Female,49,65,59,4,Mid-tier balanced
119,Female,51,67,43,4,Mid-tier balanced
120,Female,50,67,57,4,Mid-tier balanced
121,Male,27,67,56,1,Premium buyers
122,Female,38,67,40,3,Conservative earners
123,Female,40,69,58,2,Young impulsive
124,Male,39,69,91,2,Young impulsive
125,Female,23,70,29,3,Conservative earners
126,Female,31,70,77,2,Young impulsive
127,Male,43,71,35,3,Conservative earners
128,Male,40,71,95,2,Young impulsive
129,Male,59,71,11,3,Conservative earners
130,Male,38,71,75,2,Young impulsive
131,Male,47,71,9,3,Conservative earners
132,Male,39,71,75,2,Young impulsive
133,Female,25,72,34,3,Conservative earners
134,Female,31,72,71,2,Young impulsive
135,Male,20,73,5,3,Conservative earners
136,Female,29,73,88,2,Young impulsive
137,Female,44,73,7,3,Conservative earners
138,Male,32,73,73,2,Young impulsive
139,Male,19,74,10,3,Conservative earners
140,Female,35,74,72,2,Young impulsive
141,Female,57,75,5,3,Conservative earners
142,Male,32,75,93,2,Young impulsive
143,Female,28,76,40,3,Conservative earners
144,Female,32,76,87,2,Young impulsive
145,Male,25,77,12,3,Conservative earners
146,Male,28,77,97,2,Young impulsive
147,Male,48,77,36,3,Conservative earners
148,Female,32,77,74,2,Young impulsive
